Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
   Compiling futures-core v0.3.32
   Compiling socket2 v0.6.2
   Compiling mio v1.1.1
   Compiling tokio-macros v2.6.0
   Compiling itoa v1.0.17
   Compiling http v1.4.0
   Compiling tokio v1.49.0
   Compiling once_cell v1.21.3
   Compiling tracing-core v0.1.36
   Compiling tracing-attributes v0.1.31
   Compiling futures-sink v0.3.32
   Compiling memchr v2.8.0
   Compiling equivalent v1.0.2
   Compiling slab v0.4.12
   Compiling hashbrown v0.16.1
   Compiling indexmap v2.13.0
   Compiling tokio-util v0.7.18
   Compiling tracing v0.1.44
   Compiling http-body v1.0.1
   Compiling tower-service v0.3.3
   Compiling httparse v1.10.1
   Compiling futures-task v0.3.32
   Compiling futures-util v0.3.32
   Compiling aho-corasick v1.1.4
   Compiling fnv v1.0.7
   Compiling try-lock v0.2.5
   Compiling regex-syntax v0.8.9
   Compiling atomic-waker v1.1.2
   Compiling h2 v0.4.13
   Compiling regex-automata v0.4.14
   Compiling want v0.3.1
   Compiling futures-channel v0.3.32
   Compiling pin-utils v0.1.0
   Compiling sync_wrapper v1.0.2
   Compiling serde_core v1.0.228
   Compiling tower-layer v0.3.3
   Compiling httpdate v1.0.3
   Compiling getrandom v0.4.1
   Compiling smallvec v1.15.1
    Building [===============>           ] 53/87: smallvec
